node,beta,degree
n6819,-1.30286421198043,51
n682,-2.52181158765623,16
n6848,-0.382976401723129,115
n6853,-2.06006679230716,25
n6860,-2.01913326864473,26
n6867,-3.00216491085157,10
n6869,-1.30286421198043,51
n6872,-2.73462116602256,13
n6873,-3.36402889844668,7
n6878,-2.81638932330843,12
n6889,-2.19304414862394,22
n6891,-2.01913326864473,26
n6893,-2.73462116602256,13
n6898,-2.19304414862394,22
n6899,-1.90480099215796,29
n6901,-1.59148219783467,39
n6907,-2.90512719009219,11
n6910,-0.571037592326549,98
n6922,-2.81638932330843,12
n6926,-2.58807250110575,15
n693,-1.8691902374215,30
n6932,-1.1624260485613,58
n6937,-2.58807250110575,15
n6942,-1.97968104286878,27
n6947,-2.34480010856028,19
n6952,-1.00303272350237,67
n6972,-3.10925402987224,9
n6973,-1.73719906213548,34
n6974,-0.775897416360579,82
n6978,-0.424973771222145,111
n6980,-1.83469209599483,31
n6987,-2.90512719009219,11
n6994,-0.775897416360579,82
n6998,-2.65878877372373,14
n7001,-3.10925402987224,9
n7012,-0.535913509034786,101
n7021,-1.97968104286878,27
n7026,-2.90512719009219,11
n7029,-1.83469209599483,31
n7034,-2.06006679230716,25
n704,-2.10260251764155,24
n7050,-1.43818987385348,45
n7053,-4.2182609136025,3
n7054,-2.73462116602256,13
n7073,-2.58807250110575,15
n7082,-3.10925402987224,9
n7084,-2.06006679230716,25
n7089,-1.46235927362908,44
n7092,-1.01975027028921,66
n7102,-1.80123595697192,32
n7111,-2.52181158765623,16
n7112,-1.70650668077122,35
n7130,-3.92884361178356,4
n7140,-0.446457291067544,109
n7141,-2.65878877372373,14
n7142,-3.10925402987224,9
n7155,-3.00216491085157,10
n7158,-1.46235927362908,44
n7164,-2.40058675432394,18
n7172,-0.382976401723129,115
n7173,-2.45946557240675,17
n7204,-0.424973771222145,111
n7207,-3.00216491085157,10
n7209,-1.76875772912284,33
n7214,-3.51991143906438,6
n7217,-2.19304414862394,22
n7237,-0.501677721219862,104
n7255,-3.00216491085157,10
n7265,-1.76875772912284,33
n7269,-2.19304414862394,22
n7272,-2.34480010856028,19
n728,-2.06006679230716,25
n7286,-2.06006679230716,25
n7287,-1.70650668077122,35
n7312,-1.94160240624576,28
n7316,-1.90480099215796,29
n7321,-2.58807250110575,15
n7323,-2.73462116602256,13
n7326,-1.3462538899008,49
